victim_date,role,victim,age
2018-12-25,PASAJERO_ACOMPAÑANTE,CARGAS,32
2018-12-29,CONDUCTOR,MOTO,22
2019-01-08,CONDUCTOR,MOTO,25
2019-01-09,CONDUCTOR,AUTO,32
2019-01-12,CONDUCTOR,MOTO,23
2019-01-14,CONDUCTOR,AUTO,71
2019-01-19,CONDUCTOR,MOTO,43
2019-01-23,PEATON,PEATON,12
2019-01-26,CONDUCTOR,MOTO,35
2019-01-30,CONDUCTOR,MOTO,42
2019-01-31,CONDUCTOR,MOTO,34
2019-02-02,PEATON,PEATON,-1
2019-02-02,PEATON,PEATON,59
2019-02-10,PEATON,PEATON,-1
2019-02-17,CONDUCTOR,MOTO,31
2019-02-20,PEATON,PEATON,39
2019-02-20,CONDUCTOR,MOTO,69
2019-02-23,CONDUCTOR,AUTO,21
2019-02-24,CONDUCTOR,MOTO,40
2019-03-03,CONDUCTOR,AUTO,22
2019-03-03,PEATON,PEATON,29
2019-03-06,CONDUCTOR,MOTO,-1
2019-03-07,CONDUCTOR,MOTO,43
2019-03-15,CONDUCTOR,MOTO,23
2019-03-15,PASAJERO_ACOMPAÑANTE,AUTO,-1
2019-03-16,CONDUCTOR,AUTO,34
2019-03-19,CONDUCTOR,MOTO,32
2019-03-22,PEATON,PEATON,27
2019-03-28,PEATON,PEATON,-1
2019-03-28,CICLISTA,BICICLETA,37
2019-04-06,PEATON,PEATON,-1
2019-04-07,CONDUCTOR,MOTO,27
2019-04-09,CONDUCTOR,MOTO,25
2019-04-12,CICLISTA,BICICLETA,20
2019-04-16,PEATON,PEATON,83
2019-04-18,CONDUCTOR,MOTO,25
2019-04-21,CONDUCTOR,MOTO,-1
2019-04-23,PEATON,PEATON,75
2019-04-26,CONDUCTOR,MOTO,34
2019-05-01,CONDUCTOR,MOTO,17
2019-05-04,PEATON,PEATON,42
2019-05-05,PEATON,PEATON,82
2019-05-09,CONDUCTOR,MOTO,28
2019-05-09,CONDUCTOR,MOTO,44
2019-05-11,PASAJERO_ACOMPAÑANTE,AUTO,78
2019-05-14,PEATON,PEATON,39
2019-05-21,CICLISTA,BICICLETA,-1
2019-05-27,PEATON,PEATON,77
2019-06-03,CONDUCTOR,MOTO,33
2019-06-04,PASAJERO_ACOMPAÑANTE,MOTO,26
2019-06-06,PEATON,PEATON,76
2019-06-07,CONDUCTOR,MOTO,32
2019-06-08,PEATON,PEATON,72
2019-06-08,CONDUCTOR,MOTO,21
2019-06-11,CONDUCTOR,MOTO,41
2019-06-14,PASAJERO_ACOMPAÑANTE,AUTO,49
2019-06-20,CONDUCTOR,MOTO,21
2019-06-20,CONDUCTOR,MOTO,47
2019-06-29,PEATON,PEATON,75
2019-07-05,PEATON,PEATON,63
2019-07-10,CONDUCTOR,MOTO,39
2019-07-13,CONDUCTOR,MOTO,30
2019-07-17,PEATON,PEATON,78
2019-07-17,PEATON,PEATON,58
2019-08-01,PEATON,PEATON,60
